body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,frequency_of_traveling_by_air,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,how_long_tv_pc_daily_hour,how_many_new_clothes_monthly,how_long_internet_daily_hour,energy_efficiency,transport_distance_interaction,energy_efficiency_heating,carbonemission
0,1,0,3,0,0,5,2,213,1,7964,3,1,16,43,9,0,0,0,4638
3,0,0,3,0,0,2,1,281,2,3606,3,3,16,8,22,1,0,0,1909
0,1,2,1,2,1,4,2,280,0,536,1,2,2,30,1,2,536,4,2021
0,1,0,2,2,1,4,0,125,2,1564,1,5,4,15,23,0,1564,0,1896
1,1,2,0,1,2,4,0,188,0,78,3,4,11,21,3,0,156,0,1770
0,0,0,0,3,2,4,1,251,1,98,3,1,12,47,3,0,196,0,1323
0,0,1,0,3,1,4,0,285,3,1820,3,1,21,24,9,2,1820,6,2269
1,1,2,2,3,1,4,0,234,1,243,0,4,20,36,5,2,243,6,1918
2,0,2,0,2,1,4,2,91,3,1586,3,7,8,43,2,2,1586,4,2477
0,0,0,0,2,2,4,0,118,0,11,1,3,6,10,16,0,22,0,1444
1,0,3,3,2,2,4,0,75,1,72,3,5,15,42,16,1,144,2,1254
2,1,3,2,1,1,4,0,134,1,1157,3,5,19,35,10,0,1157,0,1411
3,1,1,0,3,1,4,1,282,1,1380,0,4,7,11,8,0,1380,0,1605
1,1,3,1,1,0,3,1,110,1,5765,2,5,7,2,18,0,0,0,3054
2,0,3,1,2,2,4,0,202,3,92,0,6,9,16,14,2,184,4,2902
2,1,1,1,1,0,3,0,56,0,7797,1,7,22,8,15,2,0,2,4301
0,0,2,3,1,2,4,1,223,3,50,3,3,12,35,22,2,100,2,2308
0,0,3,2,3,0,5,1,202,0,7629,2,1,17,37,2,0,0,0,4132
2,1,3,0,3,0,5,2,114,0,2367,2,3,1,41,23,0,0,0,2993
2,0,0,0,3,0,5,1,141,0,3960,2,1,7,21,1,2,0,6,3098
2,0,2,3,0,2,4,2,236,2,42,0,2,19,15,10,2,84,0,1364
0,0,0,0,0,0,3,2,95,2,6455,1,1,15,31,14,2,0,0,2941
2,0,3,2,1,2,4,0,249,0,41,1,4,6,2,4,1,82,1,1349
2,0,1,0,2,2,4,1,213,1,71,2,1,24,17,16,2,142,4,1038
1,1,3,3,3,2,4,0,81,1,39,2,7,16,31,15,0,78,0,1815
2,0,3,2,0,2,4,0,91,3,50,0,1,13,29,24,0,100,0,2566
2,0,2,3,3,0,1,2,291,3,8707,2,3,2,23,23,1,0,3,2439
1,0,1,3,1,0,3,2,70,3,167,3,2,9,7,20,2,0,2,2056
2,0,1,2,2,1,4,1,89,3,631,2,7,2,0,18,1,631,2,2299
2,1,2,3,1,1,4,0,121,2,194,1,6,15,16,18,1,194,1,1492
3,0,0,0,0,2,4,1,198,2,46,2,1,12,45,17,0,92,0,1692
1,1,3,2,3,2,4,0,234,0,37,0,3,15,29,3,2,74,6,2581
2,1,3,1,3,2,4,2,84,2,31,1,2,0,1,1,1,62,3,950
0,1,2,3,0,0,3,1,182,1,2880,3,5,10,9,1,1,0,0,1923
2,0,1,1,3,2,4,1,275,1,6,0,2,19,49,19,2,12,6,1751
3,0,1,2,0,2,4,2,228,3,40,3,6,1,35,7,1,80,0,2562
2,1,2,2,3,2,4,0,140,0,1,1,6,9,24,24,0,2,0,2456
2,0,3,2,1,1,4,2,232,1,1341,0,1,22,8,1,1,1341,1,657
0,0,1,3,1,1,4,1,115,3,393,3,3,21,13,9,0,393,0,1758
1,0,2,0,2,1,4,0,157,0,191,2,4,2,44,12,1,191,2,2184
1,0,1,3,0,1,4,2,156,3,131,0,1,14,20,23,0,131,0,3009
3,1,0,0,3,0,0,1,252,3,1419,1,5,8,43,20,2,0,6,3748
0,0,2,0,1,0,1,0,162,2,9159,3,7,2,26,16,0,0,0,1122
1,1,3,0,3,0,2,0,145,1,8016,3,3,21,14,16,0,0,0,2810
2,0,0,0,1,2,4,0,214,1,87,2,3,24,32,23,0,174,0,1346
3,0,2,3,2,2,4,0,126,2,3,3,5,15,3,12,2,6,4,671
3,0,0,3,3,2,4,1,91,0,13,0,1,19,44,16,2,26,6,1695
0,0,0,2,1,2,4,0,205,1,74,1,3,6,2,19,0,148,0,810
3,0,1,3,3,0,2,0,285,0,7743,0,3,1,33,4,2,0,6,2768
3,0,2,2,2,1,4,0,178,1,993,1,7,11,2,13,1,993,2,1033
1,0,0,3,0,1,4,2,236,2,1997,1,4,6,17,6,0,1997,0,2046
1,0,0,2,0,0,1,0,286,2,2721,3,6,23,30,22,0,0,0,2171
0,0,3,0,0,2,4,1,108,2,5,2,7,21,0,4,2,10,0,1312
1,1,2,3,3,1,4,2,76,2,941,1,1,24,3,18,0,941,0,1209
3,1,2,2,0,0,0,2,270,0,8815,3,2,7,37,9,1,0,0,4017
0,0,1,2,3,0,1,1,146,2,3276,0,1,13,10,10,0,0,0,877
1,1,2,3,1,0,2,2,221,1,3309,2,5,8,16,20,2,0,2,1856
1,1,1,2,3,0,2,1,230,1,2623,2,2,20,31,12,0,0,0,2197
1,0,0,3,1,0,0,1,295,3,7915,1,1,15,10,18,1,0,1,4281
3,1,2,1,1,0,3,2,177,0,8897,3,3,17,3,24,2,0,2,3480
3,0,3,3,2,2,4,1,189,1,19,2,1,22,36,7,1,38,2,953
3,1,0,0,2,0,1,1,174,0,3662,3,2,9,44,21,2,0,4,2046
1,1,2,3,0,0,5,0,193,1,611,1,6,12,37,5,1,0,0,2521
2,1,0,3,3,1,4,0,238,3,1431,1,6,1,33,3,2,1431,6,3551
0,1,1,3,3,1,4,2,101,1,1978,2,3,14,36,11,2,1978,6,1459
3,1,2,0,1,2,4,2,99,3,92,0,2,8,29,18,0,184,0,2492
1,1,0,0,0,2,4,1,50,0,82,1,1,10,23,16,0,164,0,2411
1,0,1,0,0,1,4,0,71,3,1851,1,7,15,0,20,2,1851,0,2761
3,0,3,3,3,1,4,2,232,2,1224,0,3,7,26,9,1,1224,3,1500
2,1,1,2,3,0,1,2,247,1,8219,0,5,18,2,5,1,0,3,1708
1,0,0,1,0,1,4,2,222,1,1390,0,4,19,2,7,0,1390,0,1717
2,1,2,1,3,1,4,2,61,0,434,2,1,23,41,14,0,434,0,2135
3,1,2,1,3,0,2,2,137,1,7460,3,6,5,11,20,1,0,3,2042
0,0,2,2,3,2,4,0,157,2,15,3,1,20,50,18,1,30,3,1221
3,1,3,1,2,0,0,0,174,3,4686,0,2,0,47,2,0,0,0,3473
0,0,3,0,1,2,4,1,214,1,88,1,5,12,39,21,1,176,1,1378
0,0,1,1,1,2,4,2,214,3,40,0,2,21,43,2,2,80,2,2135
0,1,1,2,3,2,4,0,66,1,56,3,6,11,49,20,0,112,0,1464
2,0,2,1,0,2,4,2,123,3,14,0,6,22,2,22,2,28,0,2816
0,1,2,1,3,1,4,2,105,3,108,2,1,17,19,11,0,108,0,2210
1,0,0,1,2,0,1,1,125,1,5168,3,3,1,40,17,0,0,0,1552
0,1,2,2,0,0,5,0,280,0,672,3,3,24,34,18,0,0,0,2406
1,0,2,1,2,2,4,2,238,3,94,0,3,17,21,22,1,188,2,3004
1,0,3,0,3,0,5,2,270,2,3114,1,3,14,5,10,1,0,3,2540
0,0,3,3,2,0,3,0,80,2,7134,0,2,5,8,5,2,0,4,2424
2,0,2,2,0,0,0,2,276,2,8609,0,6,6,14,20,2,0,0,4000
0,0,0,1,2,1,4,1,210,1,852,0,1,16,32,10,0,852,0,1288
1,1,3,1,2,1,4,0,270,2,1673,2,6,16,50,14,2,1673,4,2317
0,0,3,2,0,1,4,1,152,3,1564,1,7,9,17,15,2,1564,0,2730
0,0,2,2,3,2,4,1,247,2,74,3,7,3,17,22,2,148,6,1371
0,0,0,0,2,0,5,2,145,2,2885,3,4,3,33,21,1,0,2,2349
0,1,2,3,2,0,5,0,260,2,8130,1,7,7,27,0,1,0,2,4536
2,0,3,3,3,1,4,1,283,3,228,0,3,2,40,17,0,228,0,2987
0,0,3,2,3,1,4,2,277,1,1162,2,4,1,20,7,1,1162,3,1039
0,1,1,1,3,1,4,0,203,1,71,2,2,10,24,12,0,71,0,1036
1,0,0,3,2,0,0,0,213,0,6337,0,4,13,1,0,1,0,2,3620
0,1,2,2,2,1,4,0,135,2,1649,3,4,8,21,2,1,1649,2,1009
3,0,0,0,2,0,0,1,96,3,6159,3,2,6,5,19,2,0,4,2895
2,1,0,2,1,0,0,2,162,1,9884,0,1,21,32,21,2,0,2,4294
0,1,2,2,3,0,2,2,233,0,4060,0,7,13,46,7,0,0,0,3429
3,0,0,0,2,2,4,2,262,2,68,2,7,11,13,9,2,136,4,1334
2,1,1,1,3,2,4,0,176,3,5,1,7,13,34,16,0,10,0,3697
0,0,1,3,2,1,4,1,176,2,702,3,4,7,31,18,1,702,2,1494
3,1,2,1,0,2,4,2,147,3,2,0,4,1,14,17,0,4,0,2779
2,0,0,1,0,2,4,1,83,2,42,3,1,7,0,1,0,84,0,993
0,0,0,1,0,1,4,0,205,1,274,0,5,20,32,0,1,274,0,1944
0,0,0,1,0,1,4,1,125,0,590,3,3,1,3,1,0,590,0,1474
2,1,3,3,2,0,0,1,145,0,84,3,1,1,5,22,2,0,4,1880
0,0,1,1,0,0,0,1,236,0,6908,1,3,15,8,17,2,0,0,3535
3,0,0,0,3,2,4,1,101,2,52,2,7,17,45,17,1,104,3,1644
1,0,3,2,2,0,3,0,77,0,121,0,2,2,0,3,1,0,2,1268
1,1,0,1,2,2,4,0,241,2,30,3,7,19,14,19,1,60,2,1529
1,1,2,3,1,1,4,0,124,2,1336,0,4,10,34,20,2,1336,2,2076
1,1,0,1,1,2,4,1,82,1,89,1,4,5,49,10,1,178,1,1850
0,1,1,1,2,1,4,0,262,1,1412,3,6,10,7,19,1,1412,2,1000
1,1,3,3,1,2,4,0,254,1,4,3,3,6,34,13,1,8,1,1485
2,0,1,2,0,1,4,2,76,2,1924,2,1,14,19,2,0,1924,0,1139
3,0,1,0,2,2,4,0,207,1,64,1,2,8,13,14,0,128,0,682
2,1,2,0,2,0,1,1,234,1,8659,1,1,8,10,11,2,0,4,926
0,0,1,0,0,2,4,2,93,2,82,3,1,17,8,23,2,164,0,1037
0,0,2,1,1,2,4,1,76,3,31,3,4,1,0,0,0,62,0,1467
0,1,0,2,2,0,1,0,67,2,5230,2,3,5,6,0,1,0,2,914
3,0,0,3,1,1,4,0,101,0,450,0,4,22,35,20,0,450,0,1741
3,1,3,2,0,1,4,2,73,3,441,3,2,19,46,13,2,441,0,2742
1,0,3,3,3,0,3,0,280,2,6160,1,2,1,8,19,0,0,0,2988
2,0,2,3,0,2,4,1,85,0,35,2,4,20,34,4,1,70,0,2160
2,1,1,1,2,2,4,2,256,0,57,1,6,5,44,24,2,114,4,3098
0,1,3,0,3,2,4,2,193,3,7,0,3,10,43,7,1,14,3,2764
3,1,1,1,3,0,2,0,145,0,5469,2,4,16,5,5,0,0,0,2335
3,0,1,3,3,2,4,2,282,0,6,2,3,12,23,7,1,12,3,1462
1,1,0,0,0,1,4,2,133,0,21,3,3,5,31,11,1,21,0,2356
3,1,3,0,0,1,4,2,232,2,1127,2,1,19,45,16,0,1127,0,1731
0,0,0,0,0,2,4,0,129,1,7,2,2,22,25,18,0,14,0,1162
0,0,3,2,0,0,1,1,140,0,6028,0,3,11,12,19,0,0,0,1884
3,1,2,0,3,0,3,2,155,2,1669,3,3,1,18,15,1,0,3,1505
1,1,1,1,3,1,4,1,171,1,1972,3,6,11,0,4,2,1972,6,1252
0,0,0,1,1,1,4,2,274,1,684,2,6,9,22,10,0,684,0,1360
2,1,0,3,0,2,4,2,264,3,13,1,4,15,42,20,1,26,0,3824
0,1,2,0,0,0,3,1,98,3,8061,3,7,14,18,4,1,0,0,4580
0,0,2,3,0,0,3,1,252,1,2544,0,7,24,50,24,1,0,0,2833
3,1,3,3,1,2,4,2,256,2,46,0,1,17,35,14,2,92,2,1131
0,1,1,3,1,1,4,1,209,3,62,3,1,24,18,9,0,62,0,2382
0,1,2,1,3,0,1,1,269,0,4447,0,4,12,43,7,1,0,3,2649
0,1,1,2,3,0,0,1,113,2,4303,3,7,17,23,17,2,0,6,2706
2,1,2,0,1,0,3,2,270,3,3176,2,5,24,16,0,1,0,1,3045
3,1,1,2,3,0,0,0,72,2,7255,3,2,0,50,1,1,0,3,3134
1,1,2,1,3,2,4,2,101,3,62,0,7,2,19,11,0,124,0,3619
3,1,0,1,3,0,5,2,196,3,6254,3,6,21,45,20,2,0,6,5013
2,0,2,3,0,2,4,0,277,3,93,2,3,17,17,24,2,186,0,2443
0,0,0,3,3,2,4,0,91,1,86,3,3,2,8,7,1,172,3,488
2,1,1,3,3,1,4,0,97,2,357,0,7,4,39,23,1,357,3,2409
2,1,3,0,2,1,4,0,108,3,1753,2,5,13,16,2,2,1753,4,2670
2,0,0,0,3,2,4,0,106,3,45,1,1,19,44,16,0,90,0,2321
3,1,2,3,0,1,4,0,103,2,292,3,5,14,25,11,1,292,0,1574
2,0,3,1,0,1,4,2,220,3,1739,2,6,20,0,20,2,1739,0,2471
1,1,0,1,1,2,4,0,287,0,2,3,6,14,27,23,0,4,0,2541
2,0,0,0,3,2,4,2,123,3,38,2,3,0,21,19,2,76,6,2298
2,1,1,1,1,1,4,0,259,2,970,1,1,18,31,15,0,970,0,1445
2,1,2,3,2,0,3,2,172,1,8616,0,7,12,2,16,1,0,2,4240
3,1,1,3,0,1,4,0,227,3,635,3,3,4,42,11,2,635,0,2650
0,0,0,3,0,0,1,2,161,1,2914,2,1,3,13,23,0,0,0,1033
3,1,1,2,1,2,4,0,146,2,92,3,3,21,26,15,0,184,0,990
0,0,2,3,1,2,4,1,151,1,67,1,6,13,6,7,2,134,2,937
2,0,1,0,1,0,0,2,244,0,6972,2,5,3,23,23,0,0,0,3483
0,1,0,1,3,1,4,2,255,3,1057,3,7,8,27,18,0,1057,0,2929
0,1,1,0,3,0,3,1,125,2,3295,1,1,11,34,11,0,0,0,2377
3,0,0,2,0,2,4,2,52,0,97,3,1,7,9,10,0,194,0,1252
0,0,0,3,3,0,1,0,252,2,9705,0,6,9,8,23,0,0,0,1874
3,0,2,1,2,0,0,2,69,2,3105,3,6,8,38,2,1,0,2,1579
2,1,0,2,2,2,4,2,139,1,6,0,1,23,2,11,1,12,2,974
2,1,3,2,1,2,4,1,242,3,34,3,2,15,42,8,2,68,2,2607
3,1,1,3,2,1,4,1,224,0,1328,1,2,24,28,22,0,1328,0,2054
0,1,0,1,0,1,4,1,242,1,779,3,7,7,16,12,1,779,0,1662
2,0,2,0,2,1,4,0,193,2,913,0,4,5,29,1,2,913,4,1463
2,0,1,2,3,0,1,0,79,2,5464,3,1,19,45,14,0,0,0,1143
3,1,1,0,3,0,0,0,222,1,3912,2,6,7,41,20,1,0,3,2790
2,0,0,2,2,2,4,2,271,2,89,0,7,5,46,20,1,178,2,2629
2,0,0,0,3,0,2,0,193,0,4359,2,5,15,9,5,0,0,0,2338
2,0,1,0,0,0,0,0,156,2,7873,1,7,21,44,6,0,0,0,3984
0,1,1,2,2,1,4,0,168,2,374,3,2,20,34,3,1,374,2,1253
1,0,3,1,2,1,4,2,175,2,1218,2,1,10,17,19,0,1218,0,1480
2,0,0,1,2,2,4,1,212,2,1,2,1,4,38,9,0,2,0,1556
2,1,0,0,2,1,4,0,101,1,638,2,7,8,36,1,2,638,4,1847
0,0,0,3,2,0,2,2,296,2,8641,2,4,19,3,20,1,0,2,2778
0,1,0,2,0,2,4,0,66,1,46,3,5,14,50,14,0,92,0,1828
2,0,3,1,3,0,2,0,210,2,2871,1,1,15,35,0,2,0,6,1684
1,0,0,0,0,1,4,2,189,3,978,0,1,15,46,24,2,978,0,3503
0,0,0,3,2,1,4,1,225,3,1585,2,1,12,36,1,0,1585,0,2540
3,0,2,2,3,2,4,2,139,1,92,0,2,11,21,1,1,184,3,838
0,0,3,1,0,0,3,1,217,3,4197,2,4,17,28,8,0,0,0,3559
0,0,2,2,1,1,4,1,275,0,199,2,4,15,2,16,0,199,0,1237
0,0,0,2,0,1,4,0,81,0,732,2,4,1,6,1,1,732,0,1406
3,1,2,0,2,1,4,0,270,0,584,2,6,5,4,15,1,584,2,1812
3,1,1,0,2,1,4,2,219,3,476,1,4,17,26,10,1,476,2,2784
1,0,0,3,1,1,4,0,207,3,1507,0,4,24,2,15,1,1507,1,2554
3,1,3,3,3,0,1,0,131,2,6915,3,5,0,28,5,1,0,3,1203
3,0,2,1,0,1,4,2,56,2,133,1,4,11,8,5,0,133,0,1167
0,1,3,2,0,2,4,0,184,2,9,2,1,13,30,3,2,18,0,1279
2,0,2,0,1,2,4,1,250,1,34,3,6,5,6,22,0,68,0,842
0,1,3,2,0,0,1,1,85,3,9359,1,2,19,32,10,2,0,0,2654
3,0,1,2,2,2,4,0,126,1,62,0,1,13,27,4,1,124,2,830
3,1,2,2,2,1,4,2,297,2,1681,1,3,2,24,19,0,1681,0,1624
3,1,3,3,0,2,4,0,210,1,93,2,3,16,50,7,2,186,0,1439
3,1,0,1,0,2,4,1,245,3,56,3,1,11,43,13,0,112,0,2904
2,0,1,1,0,0,3,1,293,3,3509,2,7,9,33,14,1,0,0,4103
2,0,3,2,3,2,4,0,173,2,37,3,2,15,34,10,0,74,0,1060
3,1,0,2,0,0,3,1,123,3,6731,3,2,7,19,12,2,0,0,4203
3,0,3,0,0,1,4,0,75,2,1388,3,1,19,5,6,1,1388,0,856
0,1,3,1,1,0,1,2,256,0,159,0,7,4,33,16,0,0,0,2433
0,1,3,0,0,0,5,2,73,1,7976,0,5,5,15,0,0,0,0,4483
1,1,0,2,1,1,4,1,273,1,1032,3,7,7,13,18,2,1032,2,1661
3,1,2,0,0,1,4,1,129,2,1351,2,6,5,13,7,0,1351,0,1484
2,0,3,1,2,1,4,1,65,3,436,3,2,9,46,23,2,436,4,2955
0,0,2,1,3,0,3,2,231,2,4595,2,4,16,41,10,2,0,6,2590
3,1,3,1,3,1,4,1,271,1,770,3,4,0,37,1,1,770,3,1166
1,0,0,1,2,1,4,2,137,2,1632,1,2,13,23,20,0,1632,0,1742
1,0,1,1,2,1,4,0,54,2,69,0,5,0,15,17,1,69,2,1628
1,1,1,2,1,1,4,1,219,1,1876,1,4,14,37,14,0,1876,0,2090
0,1,2,0,0,1,4,2,68,1,158,2,3,5,38,7,1,158,0,1327
1,0,0,0,0,1,4,0,289,0,838,0,6,18,5,6,2,838,0,2673
2,1,3,2,1,0,0,2,76,2,2723,1,7,6,28,17,0,0,0,2664
3,0,2,3,1,1,4,0,67,0,593,2,2,11,26,17,1,593,1,1239
0,0,2,0,3,0,5,2,296,1,4910,0,5,5,40,22,1,0,3,2991
2,0,0,3,2,2,4,0,244,2,61,2,7,0,19,9,1,122,2,1688
0,0,0,0,0,2,4,1,105,2,54,3,2,7,49,6,2,108,0,1563
2,1,1,0,2,0,0,1,275,2,4425,2,2,11,13,23,1,0,2,3127
1,1,0,2,0,2,4,0,83,3,85,1,6,0,41,22,2,170,0,4095
2,0,3,2,0,0,2,2,162,2,7434,2,6,14,14,5,2,0,0,2486
1,1,0,1,1,0,5,0,209,0,7258,1,1,9,27,18,0,0,0,5082
1,1,2,3,3,2,4,0,76,1,7,0,5,2,39,22,2,14,6,2160
1,1,3,0,0,2,4,2,72,0,74,3,3,2,19,5,0,148,0,2091
0,1,2,3,1,2,4,2,282,1,37,0,5,14,30,22,0,74,0,1696
2,1,2,2,0,0,1,2,298,1,1170,3,1,15,1,22,2,0,0,1009
3,1,0,3,3,0,2,0,170,1,6890,3,2,15,39,11,2,0,6,2134
1,1,2,1,0,1,4,2,234,2,506,3,4,12,43,0,2,506,0,2047
0,1,0,2,2,2,4,1,282,1,99,1,6,10,28,14,1,198,2,2190
2,0,3,0,2,0,1,0,215,1,1695,3,6,22,31,24,2,0,4,1177
2,0,1,3,1,0,1,0,175,0,5671,3,4,16,45,14,2,0,2,1814
3,0,0,0,1,0,1,1,190,1,8553,2,6,6,44,19,2,0,2,1284
3,1,1,2,0,1,4,1,73,2,1418,1,7,15,6,12,2,1418,0,1839
3,0,1,3,1,1,4,0,214,2,382,1,3,10,24,18,1,382,1,1026
3,0,0,3,2,0,3,1,127,1,5005,1,6,20,37,6,2,0,4,2600
0,0,3,3,1,2,4,1,62,3,77,0,4,3,33,10,0,154,0,2189
3,1,3,0,1,1,4,2,199,2,194,1,2,17,45,5,1,194,1,1500
3,1,3,2,3,1,4,0,256,0,1446,3,6,16,25,5,1,1446,3,1685
0,0,2,0,0,2,4,2,223,0,58,2,6,13,26,7,1,116,0,1914
2,0,2,1,2,0,2,0,185,2,7570,0,2,14,48,13,0,0,0,2845
3,0,2,0,2,0,2,1,125,2,8298,1,2,4,12,12,1,0,2,2152
2,0,1,2,0,0,1,1,294,3,3216,3,1,5,20,21,1,0,0,2577
1,0,0,3,0,0,3,1,187,2,9945,2,3,1,9,13,2,0,0,4220
3,1,1,1,2,1,4,1,155,1,499,1,6,17,5,2,2,499,4,1199
3,0,2,2,3,1,4,1,277,0,1426,1,3,4,13,16,1,1426,3,1552
1,1,0,3,0,0,1,0,296,3,95,3,5,9,15,11,2,0,0,3294
1,0,2,0,0,0,0,1,213,3,1467,3,6,7,28,1,1,0,0,3243
0,0,1,3,0,1,4,1,269,1,1172,0,2,7,44,20,0,1172,0,1675
0,0,3,3,1,1,4,1,86,2,1212,3,7,6,24,3,0,1212,0,1304
3,1,0,3,1,2,4,1,228,3,99,1,6,13,24,18,0,198,0,2878
3,1,1,3,1,0,2,0,243,1,2787,1,2,21,16,14,2,0,2,1126
3,1,0,3,2,2,4,2,276,2,7,1,3,10,28,12,1,14,2,1489
